Location Code	Location Name	Country Code	Country Name
804571	Kabul	AF	Afghanistan
804572	Shahre Naow	AF	Afghanistan
717143	Tirana City Center	AL	Albania
717144	Blloku	AL	Albania
717145	Kombinat	AL	Albania
717146	Laprake	AL	Albania
717147	Ali Demi	AL	Albania
717148	Rinas	AL	Albania
717149	Vore	AL	Albania
717150	Kashar	AL	Albania
717151	Yrshek	AL	Albania
717152	Mezez-Fushe	AL	Albania
717153	Mullet	AL	Albania
717154	Mjull Bathore	AL	Albania
717155	Dajtit	AL	Albania
742724	Durres City Center	AL	Albania
742725	Arapaj	AL	Albania
742726	Shkallnur	AL	Albania
742727	Vlora City Center	AL	Albania
742728	Radhime	AL	Albania
742729	Palase	AL	Albania
742730	Himare	AL	Albania
769364	Fier	AL	Albania
769365	Saranda City Center	AL	Albania
769366	Kodrra	AL	Albania
769367	Ksamil	AL	Albania
769368	Shkoder	AL	Albania
804731	Berat	AL	Albania
804981	Kavaje	AL	Albania
805211	Pogradec	AL	Albania
809544	Gjirokaster	AL	Albania
809545	Himara	AL	Albania
809546	Rubik	AL	Albania
813523	Elbasan	AL	Albania
814692	Lukove	AL	Albania
814693	Velipoje	AL	Albania
814694	Vrith	AL	Albania
817051	Korce	AL	Albania
817052	Koxhas	AL	Albania
817053	Kruje	AL	Albania
817636	Kukes	AL	Albania
818003	Erseke	AL	Albania
818192	Shengjin	AL	Albania
818241	Voskopoje	AL	Albania
821897	Borsh	AL	Albania
822071	Germenj	AL	Albania
822241	Lezhe	AL	Albania
822389	Peshkopi	AL	Albania
822436	Qeparo	AL	Albania
822437	Qerret	AL	Albania
822633	Udenisht	AL	Albania
824047	Dardhe	AL	Albania
824506	Barbullush	AL	Albania
824534	Divjake	AL	Albania
824728	Tushemisht	AL	Albania
825372	Bajram Curri	AL	Albania
825640	Permet	AL	Albania
825717	Stan	AL	Albania
826783	Mbrostar-Ure	AL	Albania
826798	Sakes	AL	Albania
826834	Golem	AL	Albania
830813	Corovode	AL	Albania
831069	Lushnje	AL	Albania
831178	Tepelenë	AL	Albania
833050	Hasan	AL	Albania
833531	Qazim Pali	AL	Albania
702134	Algiers	DZ	Algeria
702135	Bab Ezzouar	DZ	Algeria
702136	Mohamed Belouizdad	DZ	Algeria
702137	Kouba	DZ	Algeria
702138	Alger Centre	DZ	Algeria
702139	Sidi M'Hamed	DZ	Algeria
702140	Oued Smar	DZ	Algeria
702141	Hussein Dey	DZ	Algeria
702142	El Mouradia	DZ	Algeria
702143	Mohammadia	DZ	Algeria
702144	Hydra	DZ	Algeria
702145	Bir Mourad Raïs	DZ	Algeria
702146	El Biar	DZ	Algeria
702147	El Achour	DZ	Algeria
702148	Les Eucalyptus	DZ	Algeria
702149	El Harrach	DZ	Algeria
760091	Oran	DZ	Algeria
760092	Hai Emir	DZ	Algeria
760093	Hai Menaouer	DZ	Algeria
760094	Hai Seddikia	DZ	Algeria
760095	El Kerma	DZ	Algeria
760096	Hai Sidi El Bachir	DZ	Algeria
760097	Hai El Moudjahiddine	DZ	Algeria
760098	Hai Khaledia	DZ	Algeria
760099	Akid Lotfi	DZ	Algeria
769921	Annaba	DZ	Algeria
769922	Bou Saada	DZ	Algeria
769923	Tizi Ouzou	DZ	Algeria
769924	Town Center	DZ	Algeria
769925	Zeralda	DZ	Algeria
782406	Ben 'Aknoûn	DZ	Algeria
782407	Batna	DZ	Algeria
782408	Blida	DZ	Algeria
782409	Chlef	DZ	Algeria
782410	Constantine	DZ	Algeria
782411	Skikda	DZ	Algeria
782412	Mostaganem	DZ	Algeria
782413	Hassi Messaoud	DZ	Algeria
782414	Ouargla	DZ	Algeria
782415	Setif	DZ	Algeria
782416	Razëm	DZ	Algeria
782417	Sidi Bel Abbès	DZ	Algeria
782418	Tlemcen	DZ	Algeria
782419	Plateau Lalla Setti	DZ	Algeria
817764	Bejaia	DZ	Algeria
817765	Bouira	DZ	Algeria
817766	Boumerdes	DZ	Algeria
817767	Djelfa	DZ	Algeria
817768	Ghardaia	DZ	Algeria
817769	Jijel	DZ	Algeria
817770	Khenchela	DZ	Algeria
817771	Laghouat	DZ	Algeria
817772	Medea	DZ	Algeria
817773	Tebessa	DZ	Algeria
817774	Tipaza	DZ	Algeria
817775	Chenoua	DZ	Algeria
817776	Tissemsilt	DZ	Algeria
821895	Bordj El Kiffan	DZ	Algeria
825964	Taghit	DZ	Algeria
825965	Timimoun	DZ	Algeria
825966	Ain El Turk	DZ	Algeria
832623	Ain Taya	DZ	Algeria
833343	Dély Ibrahim	DZ	Algeria
833344	Club of Pines	DZ	Algeria
833345	Chéraga	DZ	Algeria
833346	Usto	DZ	Algeria
834038	Ain Benian	DZ	Algeria
814018	Tafuna	AS	American Samoa
825793	Pago Pago	AS	American Samoa
825796	Utulei	AS	American Samoa
707588	Soldeu	AD	Andorra
716720	Ordino	AD	Andorra
741001	Escaldes	AD	Andorra
741002	Engolasters	AD	Andorra
741003	Other	AD	Andorra
741004	Escaldes	AD	Andorra
741005	Suburb	AD	Andorra
741006	Andorra La Vella City Center	AD	Andorra
744756	La Massana	AD	Andorra
744757	Sispony	AD	Andorra
744758	Anyos	AD	Andorra
744759	Encamp	AD	Andorra
754230	El Serrat	AD	Andorra
754231	El Tarter	AD	Andorra
754232	Erts	AD	Andorra
754233	Grau roig	AD	Andorra
754234	Incles	AD	Andorra
754235	La Cortinada	AD	Andorra
754236	L'Aldosa de Canillo	AD	Andorra
754237	Llorts	AD	Andorra
754238	Meritxell	AD	Andorra
754239	Pas de la Casa	AD	Andorra
754240	Ransol	AD	Andorra
754241	Sant Julia de Loria	AD	Andorra
765381	Xixerella	AD	Andorra
768129	Canillo	AD	Andorra
804770	Arinsal	AD	Andorra
812446	Aixovall	AD	Andorra
812447	Bixessarri	AD	Andorra
812448	Fontaneda	AD	Andorra
812449	Pal	AD	Andorra
817525	Arans	AD	Andorra
822514	Sant Pere	AD	Andorra
832602	Santa Coloma	AD	Andorra
833924	Mas de Ribafeta	AD	Andorra
833925	La Comella	AD	Andorra
771722	Luanda	AO	Angola
771723	Villa Verde I	AO	Angola
771724	Benfica	AO	Angola
771725	Ingombota	AO	Angola
771726	Marcal	AO	Angola
771727	Prenda	AO	Angola
771728	Samba	AO	Angola
771729	Luanda Sal	AO	Angola
771730	Viana	AO	Angola
771731	Capalanca	AO	Angola
771732	Cacuaco	AO	Angola
771733	Cassequel	AO	Angola
817887	Benguela	AO	Angola
817888	Cabinda	AO	Angola
817889	Cuanza Norte	AO	Angola
817890	Cuanza Sul	AO	Angola
817891	Huambo	AO	Angola
817892	Huila	AO	Angola
817893	Namibe	AO	Angola
817894	Uige	AO	Angola
822262	Lubango	AO	Angola
825355	Sumbe	AO	Angola
826192	Menongue	AO	Angola
715704	Anguilla	AI	Anguilla
731049	Waterfront/beach	AG	Antigua & Barbuda
731050	Johnson's Point	AG	Antigua & Barbuda
731051	Other	AG	Antigua & Barbuda
734692	Saint John	AG	Antigua & Barbuda
734693	Dickenson Bay	AG	Antigua & Barbuda
734694	Lower Gambles	AG	Antigua & Barbuda
734695	Steffun	AG	Antigua & Barbuda
734696	Blue Water Beach	AG	Antigua & Barbuda
734697	Cedar Grove	AG	Antigua & Barbuda
734698	Marble Hills	AG	Antigua & Barbuda
734699	Green Bay	AG	Antigua & Barbuda
734700	Hodges Bay	AG	Antigua & Barbuda
734701	Osbourn	AG	Antigua & Barbuda
768551	Saint Paul	AG	Antigua & Barbuda
768552	Saint Mary	AG	Antigua & Barbuda
771848	English Harbour	AG	Antigua & Barbuda
771849	Johnsons Point	AG	Antigua & Barbuda
791166	Parham	AG	Antigua & Barbuda
793026	Woods	AG	Antigua & Barbuda
809321	Five Islands	AG	Antigua & Barbuda
809322	Freetown	AG	Antigua & Barbuda
809323	St. Phillips Freetown	AG	Antigua & Barbuda
833359	Buckleys	AG	Antigua & Barbuda
833360	Mamora Bay	AG	Antigua & Barbuda
833361	Willikies	AG	Antigua & Barbuda
834381	Falmouth	AG	Antigua & Barbuda
702722	Posadas	AR	Argentina
704414	Comodoro Rivadavia	AR	Argentina
705757	Cordoba City Center	AR	Argentina
705758	Cordoba Suburbs	AR	Argentina
705759	Other	AR	Argentina
705760	San Miguel	AR	Argentina
705761	Arguello	AR	Argentina
705762	Barrio Residencial Santa Rosa	AR	Argentina
707135	Puerto Madryn	AR	Argentina
709227	City Center	AR	Argentina
709228	Salta	AR	Argentina
709229	Cafayate	AR	Argentina
